s2orc_paper_id;year;mag_id;author_num;citation_count;reference_count;title
53515348;2013;2015708157;1;15;24;simple random walk on long range percolation clusters ii scaling limits
53505092;2006;2060560341;3;13;23;filling invariants at infinity and the euclidean rank of hadamard spaces
49567452;2012;2078590249;2;22;33;an international comparison of lifetime inequality how continental europe resembles north america
10492285;2005;2080984053;2;133;26;liquidity provision in the overnight foreign exchange market
16766088;2005;2081503595;1;2;22;generic determinacy of equilibria with local substitution
55740625;2009;2103055881;3;85;57;lethal mutagenesis in viruses and bacteria
154840997;2005;2115524094;2;16;30;social services policy and delivery in australia centre periphery mixes
14586073;2008;2128848246;2;3;40;determinants of commercial mortgage backed securities credit ratings australian evidence
55875324;2012;2134171436;3;40;36;decent intersection and tor rigidity for modules over local hypersurfaces
54666236;2009;2143425710;1;27;41;incentives for motivated agents under an administrative constraint
13674217;2011;2156266242;1;2;27;economies of scale in banking indeterminacy and monetary policy
158960195;2003;2161025315;1;101;14;partial theta functions i beyond the lost notebook
111377534;2010;2164760790;3;5;24;finding an unknown acyclic orientation of a given graph
55015614;2014;2167039332;3;3;36;mandatory ifrs adoption and the cost of equity capital evidence from spanish firms
16669352;2012;2031902676;1;1;35;endogenous vehicle type choices in a monocentric city
56208750;2017;2428980317;3;9;47;an entropy based analysis of the relationship between the dow jones index and the trna sentiment series
31806071;2017;2501396908;1;149;32;the general equilibrium impacts of unemployment insurance evidence from a large online job board
45784419;2018;2785324737;2;11;38;broadening of the chiral critical region in a hydrodynamically expanding medium
43002576;2019;2895547248;2;7;0;spatial joint species distribution modeling using dirichlet processes
62831163;2016;2963142146;2;0;29;scientific return of a lunar elevator
154273358;2010;2008258559;3;252;101;social capital and management control systems a study of a non government organization
53999118;2013;2143702075;2;3;25;earnings growth of mexican immigrants new versus traditional destinations
17545763;2000;2029577780;2;76;34;nafta and the changing pattern of state exports
15871817;2002;2089445744;1;139;23;quality based price discrimination and tax incidence the market for gasoline and diesel cars in europe
54047019;2008;1997648170;2;11;0;drinking water treatment plant assessment through performance indicators
1717177;2002;2165946093;1;648;29;strategic delay in a real options model of r d competition
154750023;2007;2165055783;3;134;91;lyα emission in high redshift galaxies
154992868;2004;1504012520;2;8;0;applying uml and xml for designing and interchanging information for data warehouses and olap
16088076;2012;1964731456;2;22;62;a three dimensional microgeodynamic model of melt geometry in the earth s deep interior
53630265;2018;2810436768;2;3;0;president trump tweets supreme leader kim jong un on nuclear weapons a comparison with climate change
9764295;2009;2107935138;2;15;25;alternative tilts for nonparametric option pricing
3251050;2016;2532908389;2;1;20;developing a modular architecture for creation of rule based clinical diagnostic criteria
17594773;2010;2950529116;3;30;31;segmentation algorithm for non stationary compound poisson processes with an application to inventory time series of market members in a financial market
195499574;2016;2278727823;4;23;144;rnai nanomaterials targeting immune cells as an anti tumor therapy the missing link in cancer treatment
155074884;2014;2050674452;2;2;15;rigid body water surface impact dynamics experiment and semianalytical approximation
16003538;2001;2167188257;3;1455;13;automatic clustering of orthologs and in paralogs from pairwise species comparisons
59018979;2013;2078380490;1;0;0;continuity of quantization of an anti wick operators and
152625966;2007;1848516232;2;74;19;sharing rules and stability in coalition games with externalities
142608387;1990;1577805012;1;293;42;prospect theory and the risk return association an empirical examination in 85 industries
153704450;2001;2037022403;3;144;61;the zone of sympatry and hybridization of mytilus edulis and m galloprovincialis as described by intron length polymorphism at locus mac 1
2885323;2003;2148109689;3;9;7;on strategy and relative skill in poker
115130889;1999;1965080949;1;6;11;search for heavy neutral and charged leptons in e e annihilation at s 183 and 189 gev
17944988;2016;1532289959;3;7;18;mean curvature flow of singular riemannian foliations
18003842;2016;1720183910;3;23;33;predictive quantile regression with persistent covariates ivx qr approach
20998528;2016;1791765324;7;9;42;exploring a new method for deriving the monetary value of a qaly
15854756;2003;1930478432;1;138;23;adoption of an imf programme and debt rescheduling an empirical analysis
53477188;2006;1966851065;1;26;24;the chilling effect of optimism the case of final offer arbitration
73671078;2011;1968573655;2;6;28;bank employee incentives and stock purchase plans participation
125022389;1994;1975691193;2;30;28;testing choquet expected utility
2132913;2010;1985693490;1;49;87;adaptive wave alternative for the black scholes option pricing model
154706813;2006;2051604276;1;14;38;modeling purchases as repeated events
870704;2015;2057354418;2;80;55;multiview hessian regularized logistic regression for action recognition
73576012;2008;2059728390;3;64;115;studying the role of political competition in the evolution of government size over long horizons
1843919;2013;2065153282;2;201;40;the resource curse revisited governance and natural resources
43346721;2014;2076212471;2;7;92;monetary policy committee transparency measurement determinants and economic effects
53553860;2017;2098630344;1;4;32;a sequential allocation problem the asymptotic distribution of resources
41893634;2002;2112098113;3;7;11;the strong sequential core in a dynamic exchange economy
152657522;2008;2117140689;2;10;20;mixed signals among tests for panel cointegration
17233059;2008;2135875145;2;111;19;diversity and redistribution
154835526;2012;2141197266;3;81;104;how does fiscal policy react to wealth composition and asset prices
12449148;2017;2160444588;3;97;84;toward a theory of monopolistic competition
7193340;2004;2168766289;1;8;33;point mutations and transitions between cellular automata attractor basins
12821517;2011;2171750123;2;9;23;information constrained optima with retrading an externality and its market based solution
2121949;2013;2245243822;1;19;60;growth under exchange rate volatility does access to foreign or domestic equity markets matter
31951498;2020;2274933424;1;2;21;informality innovation and aggregate productivity growth
73537880;2017;2281728022;3;24;37;alpha cir model with branching processes in sovereign interest rate modelling
1911486;2004;2272326844;3;5;23;snow removal auctions in montreal costs informational rents and procurement management
56337080;2016;2369637050;2;185;85;the role of governance in mobile phones for inclusive human development in sub saharan africa
10931715;2018;2537289337;4;35;41;dynamic accessibility using big data the role of the changing conditions of network congestion and destination attractiveness
54047400;2013;2593540337;1;28;24;many neighborly polytopes and oriented matroids
158655130;2018;2765495961;3;24;25;economic growth income distribution and climate change
16761639;2009;2784388390;2;8;3;rating philosophy and dynamic properties of internal rating systems a general framework and an application to backtesting
4803074;2019;2797141056;5;8;32;effects of the affordable care act on health behaviors after three years
59180691;2019;2889903444;2;8;39;a serverless tool for platform agnostic computational experiment management
156516015;2017;2963991550;2;3;0;solving underdetermined systems with error correcting codes
14616478;2012;2963995931;3;20;34;dirac structures and dixmier douady bundles
202307251;2019;2964132246;2;1;0;wave front sets related to quasi analytic gevrey sequences
54029976;2019;3022864194;3;5;24;multiwinner approval voting an apportionment approach
109928994;2017;2751679309;3;12;54;tarnishing the golden and empire states land use restrictions and the u s economic slowdown
156681278;2016;2340193501;4;8;32;when should a non euro country join the banking union
56095146;2013;2123261366;2;0;56;financial crisis fiqh muamalat and international commutative transactions an empirical assessment of the value of contemporary currency in light of the prohibition against gharar
55850372;2008;2126922431;3;25;18;pollution and land use optimum and decentralization
121213702;2011;2165297205;2;407;52;four degrees and beyond the potential for a global temperature increase of four degrees and its implications
195888586;2016;1908007089;3;73;26;toolbox for development and validation of grey box building models for forecasting and control
66240618;1992;2058031961;3;31;3;note on the open loop von stackelberg equilibrium in the cartel versus fringe model
54796614;2014;2169962896;4;258;27;effect of carbon emission regulations on transport mode selection under stochastic demand
55950535;2018;2610730210;4;20;63;is globalization detrimental to financial development further evidence from a very large emerging economy with significant orientation towards policies
38309104;2001;2330042422;2;60;10;the role of street foods in the dietary pattern of two low income groups in nairobi
1556997;2015;2154773430;4;4;21;toeplitz determinants with perturbations in the corners
153730553;2011;2044726214;1;88;92;rapid evolutionary rewiring of a structurally constrained eye enhancer
39822579;2007;2063072400;1;27;22;financing bologna which country will pay for foreign students
4353033;2011;1993617853;5;5;10;variation of the origin of aortic arch branches in relationship with plates of atheroma
40072730;2010;2091484453;2;1;9;the impact of transportation costs on spatial competition of grain buyers an iowa case study
151295349;2017;177269636;2;10;61;income inequality and export prices across countries
38910119;2013;1979187733;2;9;40;peer influence in network markets a theoretical and empirical analysis
157382682;1999;1987565144;4;7;19;ionization dynamics in intense pulsed laser radiation effects of frequency chirping
154583480;2015;1988261496;1;5;20;connected sum construction of constant q curvature manifolds in higher dimensions
8392970;2007;2015743153;4;66;45;a dynamic programming approach for pricing options embedded in bonds
16630793;2015;2030287809;3;3;32;optimal electricity distribution framework for public space assessing renewable energy proposals for freshkills park new york city
15648095;2004;2036498947;2;10;14;decidability of chaos for some families of dynamical systems
154380442;2003;2053813060;1;12;20;how do contribution limits affect contributions to tax preferred savings accounts
53525492;2012;2073876300;5;10;8;matching polytopes and specht modules
14028390;2012;2081025461;3;14;17;pseudoprime reductions of elliptic curves
35113831;2013;2085755657;2;161;21;understanding the consequences of consequentiality testing the validity of stated preferences in the field
67825767;2011;2089599156;3;300;53;is traditional teaching really all that bad a within student between subject approach
898183;2001;2095259896;4;80;29;price competition for an informed buyer
31253510;2010;2102730713;4;96;36;similar problems different solutions comparing refuse collection in the netherlands and spain
18755210;2011;2146323038;1;1;30;evolution of locations specialisation and factor returns with two distinct waves of globalisation
276775;2006;2155382660;1;9;22;the growth of network computing quality adjusted price changes for network servers
15807046;2009;2155717646;2;6;14;boolean inner product spaces and boolean matrices
38104374;2015;2158922831;2;12;47;market models with optimal arbitrage
156745585;2015;2161781612;2;11;32;a multiscale butterfly algorithm for multidimensional fourier integral operators
16223039;2017;2245804097;3;13;48;geometric asian option pricing in general affine stochastic volatility models with jumps
14257685;2004;2107640102;2;112;18;semiparametric duration models
199290878;2002;2489111682;1;2;0;extrapolating tree transformations
13970273;2016;2543444616;2;32;8;thinking about smart cities the travels of a policy idea that promises a great deal but so far has delivered modest results
3497610;2017;2555777994;3;11;35;modularity of complex networks models
18282735;2006;2594595719;4;165;0;a strategy for finding roots of multivariate polynomials with new applications in attacking rsa variants
53356661;2017;2595706178;3;9;97;laplace expansion method for the calculation of the reduced width amplitudes
55724576;2017;2636915585;3;18;62;what do people learn by looking at direct feedback on their energy consumption results of a field study in southern france
157791486;2017;2738848685;3;3;27;what works at work toward an integrative model examining workplace campaign strategies
78208135;2019;2884579005;2;7;51;how does internal migration affect the emotional health of elderly parents left behind
109931732;2018;2962772544;2;0;18;stable sets in isk4 wheel free graphs
55757931;2018;2963441604;1;9;0;cyclotomic polynomials at roots of unity
154725839;2019;2982609339;1;0;18;a liouville theorem for superlinear heat equations on riemannian manifolds
64265322;2019;2989341556;2;68;74;structurenet hierarchical graph networks for 3d shape generation
144031145;2010;1984726804;3;166;159;the importance of being emotional how do emotions affect entrepreneurial opportunity evaluation and exploitation
195527580;2019;2948977440;2;14;52;do low skilled workers gain from high tech employment growth high technology multipliers employment and wages in britain
152564769;2016;2742253602;1;3;0;communicating health media framing of ebola outbreak in nigerian newspapers
102969;2015;834199794;2;1;22;maximizing social welfare in congestion games via redistribution
40438725;2015;2091747790;2;6;48;cognitive bias and unusual experiences in childhood
53398624;2015;1970380184;2;8;76;food security energy equity and the global commons a computable village model applied to sub saharan africa
154476143;2012;2133098147;2;3;31;carbon black polymer sensor array for incipient grain spoilage monitoring
111382841;2011;2963972492;2;6;10;an algorithm for the cartan dieudonne theorem on generalized scalar product spaces
7553290;2009;2084348523;2;744;40;assessing the prerequisite of successful csr implementation are consumers aware of csr initiatives
4602728;2009;1982421536;1;4;68;comparing the probability of unemployment in southern greece vis a vis the entire country
55340427;2013;2006444715;1;21;55;are china and india backward evidence from the 19th century u s census of manufactures
211424210;2019;2982690134;2;0;0;characteristics of party autonomy in a transnational electronic consumer contract
52061721;2015;2962862568;3;8;21;the ray tracing analytical solution within the ramod framework the case of a gaia like observer
154431409;2017;1921177970;2;97;53;social norms morals and self interest as determinants of pro environment behaviours the case of household recycling
199405229;2005;2102392020;3;138;58;the heat shock protein 90 inhibitor 17 allylamino 17 demethoxygeldanamycin enhances osteoclast formation and potentiates bone metastasis of a human breast cancer cell line
14595373;2012;1535237424;1;9;35;a partial folk theorem for games with private learning
17971861;2015;1560783279;2;8;28;distance to cannabis shops and age of onset of cannabis use
51779915;2008;1662135391;2;299;37;winners and losers a micro level analysis of international outsourcing and wages
34705317;2015;1953211229;1;2;8;relations between the local chromatic number and its directed version
9225099;1994;1975415879;2;179;11;demand for electric vehicles in hybrid households an exploratory analysis
24082088;2014;2012983070;2;4;41;growth unemployment and wage inertia
38745108;2013;2033571074;2;8;33;sub saharan african cotton policies in retrospect
13119240;2013;2056394665;3;355;34;factor market distortions across time space and sectors in china
158249159;2012;2077377594;2;5;11;computation of the two regular super exponentials to base exp 1 e
9310723;2009;2102021152;1;376;42;do television and radio destroy social capital evidence from indonesian villages
14456242;2006;2107510478;2;4;19;fixed wages and bonuses in agency contracts the case of a continuous state space
154985999;2015;2108734997;1;16;37;intergenerational earnings and income mobility in spain
8470844;2007;2111450275;2;190;25;fair payments for efficient allocations in public sector combinatorial auctions
54606211;2009;2120977040;4;17;22;job recruitment networks and migration to cities in india
18244679;1990;2128814160;2;171;26;cartel enforcement with uncertainty about costs
152431331;2014;2143935077;2;14;25;optimal dynamic nonlinear income taxes with no commitment
56243369;2014;2147947432;1;11;24;the price marginal cost markup and its determinants in u s manufacturing
130092304;2012;2159991633;3;136;42;travel to school distances in sweden 2000 2006 changing school geography with equality implications
154342643;2003;2172279548;2;15;66;international asset allocation a new perspective
150569175;2014;2233242005;3;0;22;risk aversion and dynamic games between hydroelectric operators under uncertainty
1027813;2015;2249592853;2;117;39;is universal child care leveling the playing field
84835787;2018;2744685507;2;0;15;exact probability distribution function for the volatility of cumulative production
54082186;2017;2751907526;4;5;20;robust evaluation for transportation network capacity under demand uncertainty
43810512;2019;2766774084;2;0;0;financial inclusion and economic growth in waemu a multiscale heterogeneity panel causality approach
158633375;2018;2799968050;2;7;27;financing the sustainable management of rwanda s protected areas
155223306;2016;2286183593;3;7;32;asymmetric persistence and the market pricing of accruals and cash flows
120400466;2018;2963090175;3;39;0;stochastic control for a class of nonlinear kernels and applications
53602583;2019;2963476380;4;19;36;generalized micropolar continualization of 1d beam lattices
55676242;2016;2964176302;3;18;29;systems of brownian particles with asymmetric collisions
158218601;2009;2242168762;3;0;0;unconditional lower bounds against advice
52999189;2020;2974302756;2;0;6;three dimensional connected groups of automorphisms of toroidal circle planes
132031;2019;2991987952;1;17;67;origin of the chromospheric three minute oscillations in sunspot umbrae
152308705;2019;3021219648;2;2;40;barriers to firm growth in open economies
53618091;2012;2165340260;1;3;17;demographic changes and economic development application of the vector error correction model vecm to the case of ethiopia
14451870;2010;2104532317;3;18;40;is seniority based pay used as a motivational device evidence from plant level data
15473433;2006;2096669492;4;1187;92;real time price discovery in global stock bond and foreign exchange markets
54218790;2010;2021850249;3;97;62;fluorescence measured in situ as a proxy of cdom absorption and doc concentration in the baltic sea
7102039;2001;2043958338;2;1;40;corporate investment asymmetric information and agency costs in the uk
119317171;2015;1896258704;3;8;60;dynamic pricing in a dual market environment
143429384;2011;2107309572;1;10;18;the political economy of governing isps in china perspectives of net neutrality and vertical integration
53964767;2014;2136475323;4;0;8;anglicism an active word formation mechanism in spanish
53957527;2011;2110772276;2;21;10;the concept map based assessment system functional capabilities evolution and experimental results
157265157;2012;1734615303;4;193;26;collaboration and team science from theory to practice
55280482;2007;2136992437;3;3;22;a generalization of extended affine lie algebras
54187285;2011;2170639672;2;14;25;ethanol internal steam reforming in intermediate temperature solid oxide fuel cell
11862746;2009;2144939422;3;95;29;evaluating cost and profit efficiency a comparison of parametric and nonparametric methodologies
56094774;2002;2154078831;3;23;20;bayesian modelling of catch in a north west atlantic fishery
16730648;2014;2046145398;3;0;29;the impact of the location on the price offered by accommodation establishments in urban areas
6232033;2008;2133039201;1;17;24;non invasive radioiodine imaging for accurate quantitation of nis reporter gene expression in transplanted hearts
49243141;2017;2781378593;7;7;0;transforming perceived rigidity in environmental law through adaptive governance a case of endangered species act implementation
13892667;2019;2964283435;2;10;26;optimum thresholding using mean and conditional mean squared error
55076350;2018;2766097158;3;1;31;are international fund flows related to exchange rate dynamics
153029261;2015;1487985157;3;90;65;foreign bank diversification and efficiency prior to and during the financial crisis does one business model fit all
58940686;2010;1515495916;2;7;36;external shocks in a small open economy a cge microsimulation analysis
56094042;2012;1787387953;2;29;29;australia s carbon tax a sheep in wolf s clothing
54183094;1999;1990113016;2;109;23;the nba exit discrimination and career earnings
152972487;2014;2003578874;2;6;29;short scar facelift without temporal flap a 10 year experience
158777456;2008;2025832665;2;108;14;cohomology of twisted tensor products
55365832;2008;2030576006;1;24;47;temporal aggregation of multivariate garch processes
154752743;2014;2051064134;4;16;45;rice irrigation and downside risk a quantile analysis of risk exposure and mitigation on korean farms
21666303;2001;2071852934;3;5;25;learning by helping a bounded rationality model of mentoring
53463013;2009;2098678699;2;19;38;do inflation linked bonds still diversify
8120932;2005;2146931611;3;73;50;marketing models and the lucas critique
8105844;2004;2153166204;1;183;41;barriers and the transition to modern growth
16066606;2014;2158367573;2;34;48;human single stranded dna binding protein 1 hssb1 nabp2 is required for the stability and repair of stalled replication forks
5372068;2010;2169568098;2;239;43;information technology organization and productivity in the public sector evidence from police departments
154199181;2014;2174158406;2;10;31;cost efficiency of dairy farming in new zealand a stochastic frontier analysis
55767112;2018;2219698867;2;1;29;spatial and social mobility
37700937;2010;2233813955;3;135;71;institutions and geography empirical test of spatial growth models for european regions
202540607;2013;1991272730;2;0;1;identification of chemistry bioactivity structure of α glucosidase inhibitor from ethanol extract of the stem bark raru vatica pauciflora blume
17638278;2010;2593884068;1;6;14;curvature bounds by isoperimetric comparison for normalized ricci flow on the two sphere
43927217;2019;2883711290;3;18;45;two step estimation and inference with possibly many included covariates
158801565;2021;2899360260;4;2;36;better to stay apart asset commonality bipartite network centrality and investment strategies
85442241;2019;2899630943;3;2;117;the role of inclusive development and military expenditure in modulating the effect of terrorism on governance
159013281;2019;2963601229;4;3;47;a stochastic sir model on a graph with epidemiological and population dynamics occurring over the same time scale
55099306;2012;2963999522;2;9;0;reconstructing quasimorphisms from associated partial orders and a question of polterovich
5735687;2019;2970164183;1;3;0;numerical stochastic homogenization by quasilocal effective diffusion tensors
85531859;2020;3019642080;3;0;38;change point estimation in panel data with time varying individual effects
53363383;1994;2019468261;3;7;22;continuous signaling within partitions capital structure and the fifo lifo choice
195330052;2007;1998030007;2;8;41;is plane strain a valid assumption in non cylindrical fault cored folds
154817091;2007;2159700532;1;1;6;labour as a source of value and capital formation ibn khaldun ricardo and marx a comparison 1
158168001;2019;2896692151;3;11;33;feed use intensification and technical efficiency of dairy farms in new zealand
158632498;2007;1945213020;2;19;110;deep water variability on the southern agulhas plateau interhemispheric links over the past 170 ka
53648791;2015;1930687325;2;6;10;analytic approximation of finite maturity timer option prices
153463067;2014;1987475673;3;2;25;the application of autochthonous potential of probiotic lactobacillus plantarum 564 in fish oil fortified yoghurt production
112917372;2012;2319070701;4;21;15;analysis of the interaction between travel demand and rail capacity constraints
7073535;2005;2026435519;2;57;29;minimum consumption and transitional dynamics in wealth distribution
39893085;2007;2151194820;2;5;28;international equity flows and the predictability of us stock returns
153286623;2016;2787422897;1;0;0;differential processing for actively ignored pictures and words
148058652;2004;2030812382;1;417;41;foreign direct investment in a world of multiple taxes
21639159;2015;3009674438;2;2;0;development and host compatibility of plasmids for two important ruminant pathogens mycoplasma bovis and mycoplasma agalactiae vol 10 e0119000 2015
3162117;2011;2234391669;2;1;35;nonexistence of markovian time dynamics for graphical models of correlated default
16177865;2010;2154967233;3;136;19;optimal monetary policy in a model with agency costs
152595420;2015;2612454686;2;1;0;non commutative frobenius characteristic of generalized parking functions
27977340;2008;2054666092;2;8;16;medical demography and intergenerational inequalities in general practitioners earnings
13950212;2011;2238108783;3;5;23;approximate analysis of non stationary loss queues and networks of loss queues with general service time distributions
52885653;1997;2593097059;4;0;19;the glq n covariant oscillators and q deformed quantum mechanics in n dimensions
51933303;2005;2054207406;3;14;46;three dimensional numerical simulations of mantle flow beneath mid ocean ridges
6116538;2006;2761395286;3;0;0;resources required for preparing graph states
85558268;2012;1504662635;5;0;0;grammatical inference in software engineering an overview of the state of the art
16048461;2008;1903696962;2;1;0;subjective welfare isolation and relative consumption
5400232;2011;1975667699;2;11;46;de finetti s dividend problem and impulse control for a two dimensional insurance risk process
154199022;2012;2004064117;2;11;35;market timing and corporate capital structure a transatlantic comparison
16387565;2014;2012938829;1;16;30;tackling the largest global education challenge secular and religious education in northern nigeria
85555175;2008;2026790138;1;17;45;the convergence of price cost margins
9883784;2002;2053130478;2;51;7;on the value of competition in procurement auctions
55798147;2015;2061100441;4;227;106;ceo gender ethical leadership and accounting conservatism
53549179;2011;2088079438;1;57;28;the effect of student time allocation on academic achievement
4544548;2012;2098551118;3;232;62;the extroverted firm how external information practices affect innovation and productivity
49152;1999;2105099715;2;192;49;a monte carlo study of the forecasting performance of empirical setar models
56026222;2016;2106868289;2;3;57;the boundary harnack inequality for variable exponent p laplacian carleson estimates barrier functions and p cdot harmonic measures
154672306;2011;2117277452;2;133;39;firm size and capital structure evidence using dynamic panel data
154338324;2012;2118207368;2;26;98;is german domestic social policy politically controversial
55663220;2014;2128760755;2;111;52;endogenous job contact networks
34689289;2013;2141794277;3;310;29;a re analysis of the cochrane library data the dangers of unobserved heterogeneity in meta analyses
12136344;2006;2150005526;1;104;33;a collective model for female labour supply with nonparticipation and taxation
123776354;2010;2164740912;1;14;36;dynamic systems of social interactions
35226471;2013;2167762037;4;30;17;discretely sampled variance and volatility swaps versus their continuous approximations
59521571;2016;2184129202;1;2;19;strong sterling pound and weak european currencies in the crises evidence from covered interest parity of secured rates
55764010;2016;2195643792;4;12;51;what do we mean by women s crops commercialisation gender and the power to name
155573821;2017;2232534122;3;10;57;abandonment of milk production under uncertainty and inefficiency the case of west german farms
154564532;2010;2151624134;1;53;50;public goods games altruism and evolution
12929305;2014;2268945365;2;62;39;ricardian productivity differences and the gains from trade
73587552;2015;2412866455;1;2;39;collaborative editing of emf ecore meta models and models
46287704;2014;2084086181;2;5;61;what happens if you single out an experiment
157418492;2017;2528044806;3;4;19;surplus debt regressions
55694358;2017;2605386170;3;2;26;getting more carbon bang for your buck in acre state brazil
31502868;2020;2728592305;4;3;61;inference related to common breaks in a multivariate system with joined segmented trends with applications to global and hemispheric temperatures
53694203;2017;2729554370;2;3;15;a geometric characterization of the classical lie algebras
134704846;2013;2162775815;4;155;44;agricultural land change in the carpathian ecoregion after the breakdown of socialism and expansion of the european union
3291744;2018;2963564337;1;76;13;resource allocation in noma based fog radio access networks
55551411;2019;2964319839;1;0;0;the nonparametric lan expansion for discretely observed diffusions
54725983;2020;3023462450;2;0;23;convergence of public and private enterprise wages in a transition economy evidence from a distributional decomposition in vietnam 2002 2014
6282748;2012;2163701513;2;19;49;international environmental agreements with mixed strategies and investment
41398099;2004;25575256;2;10;21;type i error rates for a one factor within subjects design with missing values
84176591;2016;2475933981;2;12;13;gender differences in reactions to feedback and willingness to compete
1116762;2003;2150317707;2;304;33;deterrence versus intrinsic motivation experimental evidence on the determinants of corruptibility
152386304;2006;2052053104;1;119;16;the outlook for asian dairy markets the role of demographics income and prices
73548205;2014;1839740704;1;61;15;carbon prices and ccs investment a comparative study between the european union and china
3036996;2011;2041004034;1;58;50;high in omega 3 fatty acids bologna type sausages stabilized with an aqueous ethanol extract of melissa officinalis
154101484;2013;2005187898;2;10;30;what drives ireland s housing market a bayesian dsge approach
53143847;2016;1583544774;6;59;55;migration local off farm employment and agricultural production efficiency evidence from china
54937299;2000;2097912000;4;489;24;bayesian probabilistic approach to structural health monitoring
5096004;2004;1527306769;17;185;26;the impact of the introduction of the u k minimum wage on the employment probabilities of low wage workers
73600620;2002;2078066422;2;75;34;the great depression in canada and the united states a neoclassical perspective
198706351;2009;2346487651;2;12;0;multiplicity results for some quasilinear elliptic problems
55617388;2016;2803947156;1;0;0;biochemical characterization of the nigerian indigenous guinea fowl numida meleagris
21731059;2013;2238007665;4;9;24;distribution dynamics of regional gdp per employee in unified germany
158973844;2020;3013659382;1;1;44;the effect of surface gravity on line depth ratios in the wavelength range 0 97 1 32 µm
16100749;1996;2053266077;2;31;17;taste homogeneity of optimal jurisdictions in a tiebout economy with crowding types and endogenous educational investment choices
125068263;2013;1752240835;2;16;26;model selection criteria for factor augmented regressions
55638555;2016;1775899153;1;134;132;incentive mechanisms for participatory sensing survey and research challenges
134099463;2019;1776257908;2;1;45;does ethnic diversity decrease economic interactions evidence from exchange networks in rural gambia
12481026;2016;1851716094;2;91;38;does the market value value added evidence from housing prices after a public release of school and teacher value added
53598951;2015;1877878735;2;4;35;private monetary transfers and altruism an empirical investigation on italian families
153613683;2010;1989744375;2;12;19;is the internet bad news the online news era and the market for high quality news
3486365;2007;1997517742;5;176;42;searching for the sunk cost fallacy
157984306;2007;2058167294;4;23;30;concepts of fairness in the global trading system
18027141;2008;2074609532;2;176;48;cultural integration and its discontents
16393507;1995;2085708644;4;227;32;effects of information in road transport networks with recurrent congestion
45347077;2007;2118276969;1;98;29;productivity growth and the returns from public investment in r d in australian broadacre agriculture
